,id,Name,population,Unnamed: 3,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days per 100000 population,ratio
49,PRK,"Korea, North",22757275,0,South-East Asia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,SYR,Syria,22198110,0,Eastern Mediterranean,25930.0,148.17,77.0,0.44,0.0,1911.0,10.92,0.03,0.0011681174658563275
51,ROU,Romania,22181287,0,Europe,1083033.0,5603.2,976.0,5.05,153.0,34278.0,177.34,0.05,0.0488264274295716
52,MOZ,Mozambique,22061451,0,Africa,117660.0,376.45,11794.0,37.73,1774.0,1388.0,4.44,0.53,0.005333284741787836
53,AUS,Australia,21515754,0,Western Pacific,33732.0,132.28,1305.0,5.12,261.0,922.0,3.62,0.03,0.0015677814498157954
54,LKA,Sri Lanka,21513990,0,South-East Asia,304202.0,1420.63,11089.0,51.79,0.0,4267.0,19.93,1.5,0.014139729543427324
55,MDG,Madagascar,21281844,0,Africa,42715.0,154.26,84.0,0.3,30.0,946.0,3.42,0.02,0.002007109910212668
56,CIV,Cote d'Ivoire,21058798,0,Africa,49911.0,189.21,525.0,1.99,136.0,326.0,1.24,0.01,0.002370078292217818
57,CMR,Cameroon,19294149,0,Africa,82064.0,309.14,193.0,0.73,0.0,1334.0,5.03,0.01,0.004253310161541719
58,NLD,Netherlands,16783092,0,Europe,1859199.0,10680.4,32100.0,184.4,4506.0,17815.0,102.34,0.15,0.11077809738515405
59,CHL,Chile,16746491,0,Americas,1613288.0,8439.38,8575.0,44.86,1371.0,35295.0,184.63,2.63,0.09633588314113088
60,BFA,Burkina Faso,16241811,0,Africa,13566.0,64.9,29.0,0.14,6.0,169.0,0.81,0.0,0.0008352516846797442
61,NER,Niger,15878271,0,Africa,5607.0,23.16,13.0,0.05,0.0,195.0,0.81,0.0,0.0003531240901481024
62,KAZ,Kazakhstan,15460484,0,Europe,617387.0,3288.05,35374.0,188.39,0.0,9077.0,48.34,2.87,0.03993322589383359
63,MWI,Malawi,15447500,0,Africa,51141.0,267.33,4724.0,24.69,760.0,1588.0,8.3,0.93,0.0033106327884771
64,ECU,Ecuador,14790608,0,Americas,483733.0,2741.78,3949.0,22.38,0.0,31454.0,178.28,3.84,0.03270541684290463
65,KHM,Cambodia,14753320,0,Western Pacific,75917.0,454.08,5498.0,32.88,765.0,1350.0,8.07,0.97,0.005145757022826048
66,SEN,Senegal,14086103,0,Africa,60170.0,359.35,5350.0,31.95,884.0,1318.0,7.87,0.37,0.004271585973778553
67,MLI,Mali,13796354,0,Africa,14564.0,71.92,36.0,0.18,0.0,531.0,2.62,0.0,0.001055641222311344
68,GTM,Guatemala,13550440,0,Americas,358798.0,2002.72,14577.0,81.36,0.0,10224.0,57.07,1.09,0.026478697370712685
69,AGO,Angola,13068161,0,Africa,42486.0,129.27,1081.0,3.29,198.0,1003.0,3.05,0.08,0.0032511077878517106
70,ZMB,Zambia,12056923,0,Africa,194140.0,1056.03,4409.0,23.98,708.0,3355.0,18.25,0.86,0.0161019523803876
71,ZWE,Zimbabwe,11651858,0,Africa,105656.0,710.87,12235.0,82.32,2089.0,3421.0,23.02,3.71,0.009067738381295069
72,CUB,Cuba,11477459,0,Americas,366985.0,3240.02,58386.0,515.48,8607.0,2628.0,23.2,4.33,0.03197441175786383
73,RWA,Rwanda,11055976,0,Africa,66586.0,514.09,5211.0,40.23,965.0,787.0,6.08,0.64,0.006022625230011353
74,GRC,Greece,10749943,0,Europe,487709.0,4550.13,18667.0,174.16,2694.0,12935.0,120.68,0.56,0.04536851962842966
75,PRT,Portugal,10735765,0,Europe,963446.0,9357.56,20202.0,196.21,3009.0,17330.0,168.32,0.8,0.08974171845229474
76,TUN,Tunisia,10589025,0,Eastern Mediterranean,582638.0,4929.83,24332.0,205.88,3676.0,19336.0,163.61,10.86,0.055022818437013794
77,TCD,Chad,10543464,0,Africa,4972.0,30.27,7.0,0.04,0.0,174.0,1.06,0.0,0.0004715717718579017
78,BEL,Belgium,10423493,0,Europe,1122951.0,9745.77,8162.0,70.84,1.0,25235.0,219.01,0.12,0.10773269574796088
79,GIN,Guinea,10324025,0,Africa,25401.0,193.42,578.0,4.4,108.0,211.0,1.61,0.12,0.002460377614350992
80,CZE,Czech Republic,10201707,0,Europe,1673429.0,15648.39,1289.0,12.05,210.0,30363.0,283.93,0.15,0.16403421505832308
81,SOM,Somalia,10112453,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,BOL,Bolivia,9947418,0,Americas,470929.0,4034.34,5578.0,47.79,905.0,17754.0,152.09,1.78,0.04734183282536232
83,HUN,Hungary,9880059,0,Europe,809491.0,8285.88,390.0,3.99,64.0,30026.0,307.34,0.06,0.08193179818055743
84,BDI,Burundi,9863117,0,Africa,7080.0,59.54,952.0,8.01,215.0,9.0,0.08,0.01,0.0007178258151049004
